Timestep,agent_joint_pos_J8,joint_pos_J8,joint_pos_J9,agent_gripper_computed,delay,,,joint_pos_J8,agent_gripper_computed
0,0.442997,0.0399,0.04,0.04,,-10,#N/A,0.0399,0.04
0.01,0.113571,0.04,0.039999,0.04,,-9,#N/A,0.04,0.04
0.02,0.1398,0.04,0.04,0.04,,-8,#N/A,0.04,0.04
0.03,0.341287,0.04,0.039954,0.04,,-7,#N/A,0.04,0.04
0.04,0.364568,0.04,0.039912,0.04,,-6,#N/A,0.04,0.04
0.05,0.33452,0.04,0.03989,0.04,,-5,#N/A,0.04,0.04
0.06,0.312457,0.04,0.039862,0.04,,-4,#N/A,0.04,0.04
0.07,0.303958,0.04,0.039835,0.04,,-3,#N/A,0.04,0.04
0.08,0.319034,0.04,0.03984,0.04,,-2,#N/A,0.04,0.04
0.09,0.346863,0.039989,0.039885,0.04,,-1,#N/A,0.039989,0.04
0.1,0.391151,0.039992,0.039951,0.04,,0,Err:502,0.039992,0.04
0.11,0.455846,0.04,0.04,0.04,,1,#N/A,0.04,0.04
0.12,0.51195,0.04,0.04,0.04,,2,#N/A,0.04,0.04
0.13,0.530125,0.04,0.04,0.04,,3,#N/A,0.04,0.04
0.14,0.489585,0.04,0.04,0.04,,4,#N/A,0.04,0.04
0.15,0.342005,0.04,0.04,0.04,,5,#N/A,0.04,0.04
0.16,-0.041175,0.035897,0.035895,0,,6,#N/A,0.035897,0
0.17,-0.728459,0.031785,0.03199,0,,7,#N/A,0.031785,0
0.18,-1.581993,0.028581,0.031558,0,,8,#N/A,0.028581,0
0.19,-1.338877,0.028032,0.031457,0,,9,#N/A,0.028032,0
0.2,-1.455723,0.028329,0.031068,0,,10,#N/A,0.028329,0
0.21,-1.47341,0.028658,0.030905,0,,,,0.028658,0
0.22,-1.341062,0.028668,0.031115,0,,,,0.028668,0
0.23,-1.291479,0.02858,0.031209,0,,,,0.02858,0
0.24,-0.857345,0.028695,0.03107,0,,,,0.028695,0
