Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.844558,2.898482,0.810372,0.552569,-0.016830,0.063923,-0.584243,0.029008,-0.477878,0.006775,-2.635743,-0.009817,1.998509,0.432814,0.032169,0.033053,1.297621,2.177224,0.577565,0.523015,-0.172046,2.024060,0.362423,-0.207512,-0.206848,22.770798,25.838869,23.860086,-5.561031,20.571177,55.692162,-9.309996,0.109311,0.115147,29.335541,87.000000,31.622223,6.239198,1.848917,12.000000,-0.209275,-50.340744,-52.144264,29.335541,104.518059,31.622223,6.239198,1.848917,84.381584,-0.209275,-50.340744,-52.144264,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.116467,1.776234,-0.544046,1.269173,0.728888,0.293159,1.928344,0.083893,-0.403740,-0.005909,-2.611939,0.075792,2.047697,0.518053,0.025440,0.026277,1.586462,2.223747,-0.790286,1.285804,2.611634,0.070629,2.343089,-0.198046,-0.200811,-7.498798,-0.446019,-25.931732,15.326699,14.811758,2.821517,-8.833479,0.399080,0.306730,-15.895632,51.868561,-20.835312,31.940422,12.000000,12.000000,12.000000,-37.031532,-38.678383,-15.895632,51.868561,-20.835312,31.940422,17.224590,92.730026,88.397934,-37.031532,-38.678383,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.322521,1.443382,-0.616412,1.054581,1.413739,0.130737,3.582602,0.164766,-0.330521,-0.070506,-2.578857,0.157612,2.106270,0.604759,0.018875,0.019671,2.367832,2.206389,-2.180944,1.333525,1.939055,0.698482,2.608168,-0.197552,-0.198008,-5.095210,-0.260968,-14.737057,1.757684,2.098424,2.865307,0.010715,-0.137063,-0.023538,-6.840087,32.725250,-14.110833,19.821095,12.000000,12.000000,12.000000,-24.826460,-26.190422,-6.840087,32.725250,-14.110833,19.821095,39.584808,79.433990,147.243759,-24.826460,-26.190422,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.950748,1.155051,-0.404317,1.023866,1.835150,-0.084065,4.489726,0.236753,-0.257441,-0.138816,-2.545407,0.240277,2.176968,0.691760,0.012360,0.013196,2.082544,2.199107,-1.996688,1.245862,2.132319,1.406451,2.609752,-0.194570,-0.192007,-4.943146,-0.107088,3.465993,-1.294870,7.642693,9.073261,0.022616,0.036968,0.208964,13.256481,15.405531,0.441029,16.064375,12.000000,12.000000,12.000000,-11.705994,-13.261623,13.256481,15.405531,0.441029,16.064375,49.497803,63.288101,176.570953,-11.705994,-13.261623,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1.174827,0.896207,-0.446785,0.954122,2.046674,-0.270719,5.022670,0.304086,-0.184304,-0.203157,-2.515159,0.325048,2.254899,0.778765,0.006689,0.007372,1.915023,2.194282,-1.792239,1.008042,2.383253,1.994979,2.610533,-0.128045,-0.135806,-7.103097,0.020957,9.323265,-7.451441,9.078239,17.057547,0.045505,2.921844,3.152391,17.148796,-0.777391,3.687449,11.193592,12.000000,12.000000,12.000000,-0.683756,-1.193438,17.148796,-0.777391,3.687449,11.193592,50.369308,48.113747,190.926895,-0.683756,-1.193438,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1.404313,0.628073,-0.518107,1.090561,2.183527,-0.395372,5.425829,0.366897,-0.112567,-0.260787,-2.488736,0.410692,2.334952,0.865781,0.003574,0.004078,1.754273,2.070758,-1.547185,0.897311,2.431373,2.055506,2.611116,-0.066679,-0.071577,-8.750109,-3.355765,12.760476,-6.171183,11.135558,18.587006,0.031872,1.586689,1.540673,21.635220,-17.048767,5.002121,14.942254,12.000000,12.000000,12.000000,-0.439550,-1.225318,21.635220,-17.048767,5.002121,14.942254,48.987041,36.657837,200.089355,-0.439550,-1.225318,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1.602845,0.088612,-0.614424,1.118096,2.285413,-0.463103,5.429729,0.427341,-0.054445,-0.311781,-2.473143,0.499008,2.420336,0.952808,0.001901,0.002390,1.685027,1.318214,-1.315131,0.319250,2.612238,2.421191,2.611687,-0.036188,-0.035446,-8.655645,-22.293297,14.363501,-17.461878,5.044155,11.524385,0.018954,0.775733,0.891913,24.924038,-42.298717,4.697664,15.776570,12.000000,12.000000,12.000000,-0.313369,-1.149609,24.924038,-42.298717,4.697664,15.776570,44.928604,25.340004,193.280182,-0.313369,-1.149609,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1.816920,0.115931,-0.617699,1.115571,2.301347,-0.618931,5.643698,0.479480,-0.019938,-0.347558,-2.474335,0.587600,2.507300,1.039842,0.000981,0.001537,1.496459,0.629135,-0.872533,-0.162253,2.672347,2.608578,2.612661,-0.019256,-0.018249,-5.287241,-20.781561,13.101149,-13.138658,0.131407,-0.014977,0.005937,0.421656,0.418468,29.999729,-42.043221,6.178231,17.341440,12.000000,10.661835,12.000000,-0.116856,-1.269392,29.999729,-42.043221,6.178231,17.341440,37.905495,10.661835,194.871780,-0.116856,-1.269392,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1.784545,0.136360,-0.874887,1.344789,2.215410,-0.722300,5.698027,0.549243,-0.002895,-0.396872,-2.478238,0.676153,2.576187,1.126889,0.000527,0.001045,1.957049,0.239329,-1.330431,0.071778,2.617028,1.471961,2.612591,-0.007977,-0.011407,-8.815863,-11.600885,9.820775,6.473951,2.852568,-34.243202,0.009255,0.343397,0.124074,21.712191,-41.008110,0.865484,27.314743,12.000000,2.183853,12.000000,-0.035182,-1.187217,21.712191,-41.008110,0.865484,27.314743,27.788654,2.183853,190.082138,-0.035182,-1.187217,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.841077,0.316018,-0.962429,1.215236,2.166287,-0.770458,5.815688,0.617517,0.003404,-0.444941,-2.476925,0.764429,2.604565,1.213919,0.000398,0.000668,1.920913,-0.033532,-1.286610,0.134537,2.667812,0.517155,2.612032,0.000384,-0.010385,-8.205063,-8.379863,9.668834,0.088202,0.064516,-14.175910,-0.000086,0.247361,-0.019336,18.642056,-33.416420,1.070637,21.494635,12.000000,1.647309,12.000000,-0.475388,-0.707513,18.642056,-33.416420,1.070637,21.494635,18.370468,1.647309,187.827316,-0.475388,-0.707513,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
