Timestep,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.021235,-0.559573,-0.037263,-2.826768,-0.051601,3.060515,0.793173,0.039963,0.040000,0.557532,0.612698,-1.716279,-1.282275,-2.610002,0.551976,2.573857,-0.001756,0.000503,-37.122387,27.117134,-1.374590,-65.216240,0.000048,-7.018268,-0.200748,0.113726,0.034040,-15.860176,48.000000,-48.000000,-48.000000,-12.000000,-3.979551,12.000000,0.328446,-0.016230,-15.860176,95.321991,-112.093185,-68.347610,-54.559868,-3.979551,23.771830,0.328446,-0.016230,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.031157,-0.536592,-0.078647,-2.866509,-0.103575,3.095243,0.845379,0.039978,0.040000,-0.023015,1.499290,-1.837178,-2.170238,-2.610002,1.209969,2.594900,0.000940,0.000605,-35.626835,50.935966,-1.193070,-11.452341,-19.917416,-68.310966,-1.510072,0.066714,0.079464,-11.872995,48.000000,-48.000000,-47.488659,-12.000000,-5.669504,12.000000,0.042490,0.022816,-11.872995,66.458710,-107.475899,-47.488659,-26.131927,-5.669504,16.401283,0.042490,0.022816,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.036310,-0.495727,-0.122123,-2.909641,-0.155233,3.107361,0.897549,0.040000,0.039962,0.323474,2.174373,-2.174887,-2.174078,-2.473685,0.125042,2.601788,0.005685,-0.002045,0.647429,1.534986,-0.073719,-7.373929,0.829887,-84.601067,2.850485,0.060126,-0.069999,4.275873,46.760403,-48.000000,-11.853164,-12.000000,-3.756875,12.000000,-0.508371,0.168210,4.275873,46.760403,-100.080093,-11.853164,-25.344936,-3.756875,20.124535,-0.508371,0.168210,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.048041,-0.452136,-0.165677,-2.952041,-0.203157,3.100479,0.949010,0.040000,0.039870,0.937093,2.174998,-2.175002,-2.049093,-2.058703,-0.122861,2.483554,0.007120,-0.003697,24.892599,0.000095,0.000024,5.356789,-12.771726,-1.588456,7.930112,0.034309,0.072581,15.009876,28.767746,-48.000000,13.802338,-12.000000,2.007819,12.000000,-0.677650,0.616419,15.009876,28.767746,-89.601456,13.802338,-36.205406,2.007819,30.806694,-0.677650,0.616419,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.067201,-0.408505,-0.209233,-2.991115,-0.254806,3.097322,1.001207,0.040000,0.039838,1.107137,2.175003,-2.175001,-1.746528,-2.591399,0.063002,2.606297,0.003713,-0.000750,11.478233,0.000238,0.000048,15.309298,-2.483773,4.341950,0.010562,-0.207211,0.125118,6.796155,17.294163,-48.000000,25.805309,-12.000000,3.730818,12.000000,-0.578558,0.507444,6.796155,17.294163,-86.563705,25.805309,-40.600784,3.730818,31.324371,-0.578558,0.507444,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.089782,-0.364853,-0.252774,-3.021960,-0.306621,3.096861,1.053408,0.040000,0.039849,1.192085,2.175005,-2.175002,-1.220554,-2.587987,0.141104,2.605734,0.002662,0.000636,3.690267,0.000095,0.000048,26.844227,-0.046253,2.100096,0.014329,-0.038409,0.036256,1.486982,8.656189,-48.000000,35.528168,-12.000000,4.536718,12.000000,-0.304639,0.289907,1.486982,8.656189,-83.671021,35.528168,-41.606327,4.536718,30.791702,-0.304639,0.289907,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.115122,-0.321183,-0.296329,-3.040568,-0.358385,3.099744,1.105609,0.040000,0.039864,1.357922,2.175013,-2.175001,-0.533372,-2.585430,0.308258,2.605355,0.001769,0.001009,7.368648,0.000381,0.000048,34.749889,-0.150871,3.216296,0.035095,-0.052583,0.049625,1.422898,4.068645,-48.000000,41.568069,-12.000000,5.233663,12.000000,-0.229441,0.241522,1.422898,4.068645,-76.571434,41.568069,-43.249619,5.233663,31.786795,-0.229441,0.241522,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.145681,-0.277523,-0.339893,-3.044718,-0.410186,3.101673,1.157809,0.040000,0.039882,1.673043,2.175020,-2.175003,0.192977,-2.586318,0.186759,2.605597,0.000864,0.001013,13.317251,0.000358,-0.000119,34.772648,-0.115466,1.725896,0.029945,-0.048928,0.038859,2.925436,4.736359,-48.000000,40.420994,-12.000000,4.904715,12.000000,-0.135310,0.195506,2.925436,4.736359,-66.365204,40.420994,-43.684635,4.904715,33.375843,-0.135310,0.195506,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.182460,-0.233904,-0.383452,-3.035815,-0.462103,3.096605,1.210011,0.040000,0.039909,1.951346,2.175026,-2.175001,0.745044,-2.591765,-0.206867,2.606669,0.000330,0.001111,10.013950,0.000548,-0.000024,24.170452,-0.011945,3.095900,0.011301,-0.020332,0.015137,2.261807,6.955155,-48.000000,31.181011,-12.000000,3.624356,12.000000,-0.053320,0.112564,2.261807,6.955155,-55.938934,31.181011,-41.402390,3.624356,33.979630,-0.053320,0.112564,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.222061,-0.190332,-0.426996,-3.018582,-0.514139,3.083598,1.262213,0.039998,0.039951,1.971372,2.175024,-2.175002,1.025213,-2.598597,-0.572518,2.608024,0.000634,0.001296,-2.875841,0.000572,-0.000024,10.263151,0.045776,8.091277,-0.001121,0.013327,-0.007210,-1.030881,6.917655,-47.923134,20.346367,-12.000000,2.273165,12.000000,-0.044259,-0.001226,-1.030881,6.917655,-47.923134,20.346367,-36.500938,2.273165,32.123180,-0.044259,-0.001226,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
