Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,agent_joint_pos_J8,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,-0.658975,1.903537,-2.319113,0.517371,1.129383,-1.371744,-0.626445,0.442997,0.025160,-0.552173,-0.035584,-2.800416,0.029984,2.988105,0.688834,0.039900,0.040000,0.893809,1.756550,-2.175002,1.042138,0.582509,-2.431242,-2.609691,-0.004738,0.004822,-50.134232,87.864914,-0.000119,38.948303,99.511642,-9.788489,-0.003123,0.004285,0.481823,-32.882206,72.323608,-82.950142,17.876955,12.000000,-12.000000,-12.000000,0.568455,-0.000369,-32.882206,72.323608,-82.950142,17.876955,45.804832,-43.656223,-12.533563,0.568455,-0.000369,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.407418,1.119628,-1.973952,0.531856,1.252782,-1.311834,0.006030,0.113571,0.038855,-0.510604,-0.078980,-2.778697,0.072000,2.935863,0.704703,0.040000,0.039999,0.217859,2.175206,-2.175018,1.224788,1.529842,-2.610001,0.893560,0.014976,-0.000141,-35.156639,-0.003386,-0.001097,-2.477753,35.471081,0.000048,-18.753630,1.768057,-0.148286,-21.284050,33.154747,-65.676483,14.675388,12.000000,-12.000000,-0.502290,0.518793,-0.134177,-21.284050,33.154747,-65.676483,14.675388,41.426830,-36.030693,-0.502290,0.518793,-0.134177,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.042132,0.907107,-1.487293,0.407625,0.955465,-1.299775,-0.052463,0.139800,0.045233,-0.467075,-0.122457,-2.757697,0.123602,2.883659,0.707899,0.040000,0.040000,0.267478,2.175089,-2.175024,1.064527,2.511667,-2.610003,0.161345,0.020324,0.001033,-3.610343,-0.001550,-0.000620,-6.731462,2.658749,-0.000119,-3.204794,0.132511,-0.025438,-2.906081,21.171158,-42.734959,8.407946,12.000000,-12.000000,-0.104666,-1.899862,-0.128732,-2.906081,21.171158,-42.734959,8.407946,20.466034,-31.371803,-0.104666,-1.899862,-0.128732,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.413518,1.257834,-1.181233,0.126186,0.676323,-1.434226,-0.281555,0.341287,0.054906,-0.423582,-0.165985,-2.742078,0.175849,2.832565,0.673212,0.040000,0.039954,0.664707,2.174969,-2.175001,0.661808,2.609592,-2.444054,-1.471898,0.008584,-0.002849,17.784891,0.008702,0.000072,-18.673479,0.010419,-0.749445,33.094181,-1.182785,-0.252480,10.662544,31.720108,-27.011410,-3.230751,4.630785,-12.000000,0.063484,-2.041181,0.051754,10.662544,31.720108,-27.011410,-3.230751,4.630785,-33.314369,0.063484,-2.041181,0.051754,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.333306,1.354255,-1.267998,0.155319,0.769724,-1.479306,-0.242765,0.364568,0.069749,-0.380083,-0.209495,-2.733699,0.227947,2.780886,0.655088,0.040000,0.039912,0.820690,2.175009,-2.175000,0.320293,2.609788,-2.534376,-0.715254,0.012989,-0.001169,6.574118,0.000048,0.000024,-17.330420,0.008202,-2.003431,16.210752,0.317848,0.058962,5.356118,32.096828,-27.000740,-1.601161,4.199620,-12.000000,0.029570,-0.981038,0.317770,5.356118,32.096828,-27.000740,-1.601161,4.199620,-30.695673,0.029570,-0.981038,0.317770,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.286893,1.144852,-1.244951,0.311353,0.775471,-1.397523,-0.242422,0.334520,0.086184,-0.336554,-0.253015,-2.730815,0.279181,2.728682,0.643355,0.040000,0.039890,0.821995,2.175061,-2.175042,0.127717,2.357261,-2.610002,-0.448422,0.015095,-0.000531,-1.766688,-0.003982,0.020909,-9.738305,-25.341606,-0.000286,12.755251,0.112962,0.033666,1.881421,20.239264,-22.596958,5.293866,0.251912,-12.000000,0.002223,-1.396553,0.289410,1.881421,20.239264,-22.596958,5.293866,0.251912,-22.883654,0.002223,-1.396553,0.289410,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.377729,0.940300,-1.098697,0.462404,0.735405,-1.313062,-0.279044,0.312457,0.102423,-0.292989,-0.296577,-2.730272,0.312998,2.676491,0.630134,0.040000,0.039862,0.835070,2.175108,-2.175090,0.084459,1.265635,-2.610001,-0.552039,0.009896,-0.001729,1.977038,-0.000858,0.000024,-2.450038,-37.941074,-0.000191,11.242771,-0.490820,-0.039008,4.308291,8.573211,-13.263609,11.694938,-1.057058,-12.000000,-0.127932,-1.480392,0.378119,4.308291,8.573211,-13.263609,11.694938,-1.057058,-15.329753,-0.127932,-1.480392,0.378119,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.516956,0.805714,-0.932911,0.585037,0.678268,-1.271386,-0.340946,0.303958,0.120659,-0.249394,-0.340160,-2.729446,0.326500,2.624301,0.611139,0.040000,0.039835,1.012962,2.175146,-2.175126,0.150973,0.399005,-2.610001,-0.799581,0.004260,-0.001334,10.303556,-0.001168,0.000954,2.905501,-21.038845,0.000167,16.556007,-0.461924,0.108456,8.153401,-0.296851,-3.146087,16.515787,-1.041136,-9.487567,-0.098809,-0.887909,0.554236,8.153401,-0.296851,-3.146087,16.515787,-1.041136,-9.487567,-0.098809,-0.887909,0.554236,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.637668,0.758109,-0.803782,0.654962,0.609725,-1.247855,-0.394435,0.319034,0.143533,-0.205777,-0.383758,-2.726695,0.323867,2.572110,0.589487,0.040000,0.039840,1.290090,2.175164,-2.175120,0.271100,-0.281078,-2.610001,-0.907950,0.001169,0.000264,15.146648,-0.001550,0.002074,5.379011,-7.138251,0.000048,18.941408,-0.288908,0.195137,10.443094,-5.689658,5.506491,18.798689,-0.892772,-4.371073,-0.072644,-0.405780,0.509758,10.443094,-5.689658,5.506491,18.798689,-0.892772,-4.371073,-0.072644,-0.405780,0.509758,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.721230,0.794591,-0.702958,0.678232,0.521143,-1.226896,-0.422731,0.346863,0.169455,-0.162150,-0.424639,-2.721550,0.307177,2.520135,0.570143,0.039989,0.039885,1.131924,2.175005,-1.702591,0.370808,-0.840347,-2.541124,-0.810512,0.000015,0.001683,-20.033157,-0.000715,38.406170,3.148124,10.206997,6.887698,16.600441,-0.147817,0.199852,10.973624,-7.719423,12.657977,18.921871,-0.688521,0.641649,-0.054867,-0.149312,0.320864,10.973624,-7.719423,12.657977,18.921871,-0.688521,0.641649,-0.054867,-0.149312,0.320864,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
