time,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
0.0,-0.0014,-0.0308,0.0061,-0.0487,-0.0656,0.0512,0.0522,0.0043,0.0048,-0.2981,-1.5277,-0.4471,-2.2152,-2.6198,1.0876,2.3251,0.2036,-0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.02,0.0,-0.569,0.0,-2.81,0.0,3.037,0.741,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.52,0.0,87.0,0.0,-12.0,-12.0,-80.0,-80.0,0.0,45.52,0.0,224.8,0.0,-242.96,-59.28,-80.0,-80.0,-1.167,2.36,-0.1611,0.8606,0.8697,-0.1106,-0.3589,0.1768
0.04,-0.0325,-0.546,0.0264,-2.7982,0.0421,3.0276,0.6895,0.0399,0.04,-2.1567,2.175,1.4941,1.4021,1.6021,-0.88897,-2.455,0.0013784,0.003654,0.10126,105.18,-5.7074,61.244,82.588,3.4722,15.455,0.53509,0.3668,-37.166,87.0,-13.435,31.084,12.0,-0.47302,-1.8588,0.54198,0.0014061,-37.166,89.433,-13.435,31.084,30.125,-0.47302,-1.8588,0.54198,0.0014061,-1.3149,2.0313,0.0335,0.1706,1.2001,-0.2673,-0.4411,0.0896
0.06,-0.0757,-0.5025,0.0575,-2.7744,0.0915,2.9922,0.638,0.0399,0.04,-2.1591,2.175,1.429,1.116,2.2493,-1.9365,-2.3559,-0.00050926,0.00069906,0.30146,0.011206,-7.0541,-20.828,8.2968,11.638,25.402,-0.069534,-0.068685,-39.6171,68.9707,-8.0421,-0.4283,12.0,-0.4548,-0.9987,0.0977,-0.1386,-39.6171,68.9707,-8.0421,-0.4283,34.0133,-0.4548,-0.9987,0.0977,-0.1386,-1.224,1.8937,0.057,0.0846,1.2681,-0.2242,-0.63,0.1489
0.08,-0.1188,-0.459,0.0858,-2.7604,0.142,2.968,0.5858,0.04,0.04,-2.154,2.175,1.2801,0.54821,2.294,-0.93162,-2.61,-0.00021952,-0.00011146,0.30107,0.0,-8.7416,-25.083,-6.4211,27.291,-0.00011921,-0.024188,0.0070113,-32.551,59.986,-8.9551,-3.3307,12.0,0.57765,-4.4364,0.096202,0.021913,-32.551,59.986,-8.9551,-3.3307,31.943,0.57765,-4.4364,0.096202,0.021913,-1.0473,1.7248,0.2177,0.0886,1.4351,-0.2402,-0.7146,0.1897
0.1,-0.1621,-0.4155,0.1128,-2.7557,0.193,2.9515,0.5336,0.04,0.04,-2.1607,2.175,1.2963,0.11693,2.4207,-0.75496,-2.61,0.00036593,0.00036161,0.34857,-7.1526e-05,-1.5566,-21.131,-3.1286,11.267,2.3842e-05,-0.00073314,-0.00841,-22.0,49.748,-4.4889,-2.0115,12.0,0.076379,-3.6412,0.027971,-0.036316,-22.0,49.748,-4.4889,-2.0115,34.195,0.076379,-3.6412,0.027971,-0.036316,-0.9313,1.4999,0.4028,0.1558,1.5728,-0.2353,-0.7765,0.2631
0.12,-0.2056,-0.372,0.1416,-2.7586,0.2451,2.939,0.4814,0.04,0.04,-2.1724,2.175,1.4629,-0.21122,2.5718,-0.5423,-2.5879,0.0010285,-7.4523e-05,0.30034,0.0002861,5.209,-15.408,-3.8188,8.6496,2.0128,0.0051256,0.027582,-13.8432,37.2721,0.3155,2.1714,12.0,0.4791,-1.9489,-0.0918,0.0728,-13.8432,37.2721,0.3155,2.1714,34.9427,0.4791,-1.9489,-0.0918,0.0728,-0.8618,1.3166,0.6218,0.279,1.6596,-0.226,-0.8341,0.3674
0.14,-0.2495,-0.3284,0.1752,-2.7662,0.2974,2.9294,0.4314,0.04,0.0399,-2.1769,2.175,1.7664,-0.37202,2.61,-0.39717,-2.1661,0.0021952,-0.001323,0.026655,0.00059605,13.4,-7.4322,-2.3842e-05,6.9422,43.855,-0.070849,0.11521,-7.556,26.4584,5.7245,8.512,12.0,1.0787,-0.093,-0.2904,0.3343,-7.556,26.4584,5.7245,8.512,34.2393,1.0787,-0.093,-0.2904,0.3343,-0.8825,1.2334,0.8092,0.357,1.6936,-0.198,-0.9053,0.4985
0.16,-0.2939,-0.2849,0.216,-2.7761,0.3498,2.9253,0.3846,0.04,0.0399,-2.1781,2.1749,2.1541,-0.44163,2.61,-0.10995,-1.9309,0.0027605,-0.0016431,0.044417,0.001502,17.368,-1.909,-0.00016689,4.8478,43.118,-0.20468,0.21262,-4.8464,19.6493,8.8714,12.8477,12.0,1.5297,0.0326,-0.4807,0.5115,-4.8464,19.6493,8.8714,12.8477,31.4119,1.5297,0.0326,-0.4807,0.5115,-0.9782,1.1957,0.9394,0.4105,1.7198,-0.1663,-0.9758,0.6275
0.18,-0.3372,-0.2413,0.2596,-2.7865,0.4015,2.9254,0.3412,0.04,0.0399,-2.1774,2.175,2.175,-0.42449,2.5059,0.05939,-1.7681,0.0010922,0.00075243,-0.0082731,0.00030994,0.10142,2.0377,-2.0957,0.83042,40.137,-0.065574,0.028782,-5.1698,14.6583,9.8583,15.9048,12.0,2.0976,0.0449,-0.1748,0.093,-5.1698,14.6583,9.8583,15.9048,28.6251,2.0976,0.0449,-0.1748,0.093,-0.9584,1.1746,1.1168,0.4415,1.7893,-0.1228,-1.0783,0.7551
